552784600502915072 [0, 'non-rumours', 'charliehebdo']
553103334626701312 [1, 'rumour', 'charliehebdo']
553103772852191233 [1, 'rumour', 'charliehebdo']
553104503520890880 [1, 'rumour', 'charliehebdo']
553107921081749504 [1, 'rumour', 'charliehebdo']
553110339236409346 [1, 'rumour', 'charliehebdo']
553115168084074497 [1, 'rumour', 'charliehebdo']
553115236992290816 [1, 'rumour', 'charliehebdo']
553116915325870083 [1, 'rumour', 'charliehebdo']
553118198741356544 [1, 'rumour', 'charliehebdo']
553121732387946496 [1, 'rumour', 'charliehebdo']
553123329561743361 [1, 'rumour', 'charliehebdo']
553124268196642816 [1, 'rumour', 'charliehebdo']
553129559173115904 [1, 'rumour', 'charliehebdo']
553130148107943937 [1, 'rumour', 'charliehebdo']
553133704881917952 [1, 'rumour', 'charliehebdo']
553136565296582657 [1, 'rumour', 'charliehebdo']
553136604882014208 [1, 'rumour', 'charliehebdo']
553136845589319680 [1, 'rumour', 'charliehebdo']
553137849663361024 [1, 'rumour', 'charliehebdo']
553137946740932608 [1, 'rumour', 'charliehebdo']
553139203320860672 [1, 'rumour', 'charliehebdo']
553139825008599041 [1, 'rumour', 'charliehebdo']
553141087725170688 [1, 'rumour', 'charliehebdo']
553141732452626432 [1, 'rumour', 'charliehebdo']
553144712920834048 [1, 'rumour', 'charliehebdo']
553152215050125313 [1, 'rumour', 'charliehebdo']
553152395371630592 [1, 'rumour', 'charliehebdo']
553160652567498752 [1, 'rumour', 'charliehebdo']
553164985460068352 [1, 'rumour', 'charliehebdo']
553167429665587200 [1, 'rumour', 'charliehebdo']
553167814941761538 [1, 'rumour', 'charliehebdo']
553169307824177152 [1, 'rumour', 'charliehebdo']
553176411541098499 [1, 'rumour', 'charliehebdo']
553176753297162240 [1, 'rumour', 'charliehebdo']
553176929411825664 [1, 'rumour', 'charliehebdo']
553184482241814530 [1, 'rumour', 'charliehebdo']
553184643055644674 [1, 'rumour', 'charliehebdo']
553184958958022657 [1, 'rumour', 'charliehebdo']
553185370108878849 [1, 'rumour', 'charliehebdo']
553186555150749696 [1, 'rumour', 'charliehebdo']
553188382403477505 [1, 'rumour', 'charliehebdo']
553190393370923008 [1, 'rumour', 'charliehebdo']
553197863971610624 [1, 'rumour', 'charliehebdo']
553198972287082497 [1, 'rumour', 'charliehebdo']
553202028575731713 [1, 'rumour', 'charliehebdo']
553212962044149761 [1, 'rumour', 'charliehebdo']
553216909022605312 [1, 'rumour', 'charliehebdo']
553221600955621376 [1, 'rumour', 'charliehebdo']
553233728030650368 [1, 'rumour', 'charliehebdo']
553461741917863936 [1, 'rumour', 'charliehebdo']
553466230989144064 [1, 'rumour', 'charliehebdo']
553467311261503488 [1, 'rumour', 'charliehebdo']
553468492700454912 [1, 'rumour', 'charliehebdo']
553469523945590784 [1, 'rumour', 'charliehebdo']
553469733656203264 [1, 'rumour', 'charliehebdo']
553470140042735616 [1, 'rumour', 'charliehebdo']
553470382129565696 [1, 'rumour', 'charliehebdo']
553470492565602305 [1, 'rumour', 'charliehebdo']
553470733180223489 [1, 'rumour', 'charliehebdo']
553470977972375553 [1, 'rumour', 'charliehebdo']
553471193110421504 [1, 'rumour', 'charliehebdo']
553471987411324929 [1, 'rumour', 'charliehebdo']
553472225798795264 [1, 'rumour', 'charliehebdo']
553472437644320769 [1, 'rumour', 'charliehebdo']
553472488462901248 [1, 'rumour', 'charliehebdo']
553473416905629696 [1, 'rumour', 'charliehebdo']
553473550523580416 [1, 'rumour', 'charliehebdo']
553473704060284928 [1, 'rumour', 'charliehebdo']
553474012446478336 [1, 'rumour', 'charliehebdo']
553474188259102720 [1, 'rumour', 'charliehebdo']
553474232596701184 [1, 'rumour', 'charliehebdo']
553474514496278528 [1, 'rumour', 'charliehebdo']
553474965278691330 [1, 'rumour', 'charliehebdo']
553475269873643520 [1, 'rumour', 'charliehebdo']
553475430897156096 [1, 'rumour', 'charliehebdo']
553475729187680258 [1, 'rumour', 'charliehebdo']
553475824369012736 [1, 'rumour', 'charliehebdo']
553476073703620609 [1, 'rumour', 'charliehebdo']
553476471470432256 [1, 'rumour', 'charliehebdo']
553476490315431937 [1, 'rumour', 'charliehebdo']
553476600985948160 [1, 'rumour', 'charliehebdo']
553476880339599360 [1, 'rumour', 'charliehebdo']
553477352542707712 [1, 'rumour', 'charliehebdo']
553477554041257985 [1, 'rumour', 'charliehebdo']
553477692591726592 [1, 'rumour', 'charliehebdo']
553477943616634880 [1, 'rumour', 'charliehebdo']
553478142791548928 [1, 'rumour', 'charliehebdo']
553478289474740224 [1, 'rumour', 'charliehebdo']
553478677359775744 [1, 'rumour', 'charliehebdo']
553479222434729984 [1, 'rumour', 'charliehebdo']
553479315711864832 [1, 'rumour', 'charliehebdo']
553480082996879360 [1, 'rumour', 'charliehebdo']
553480292498153472 [1, 'rumour', 'charliehebdo']
553480702067736578 [1, 'rumour', 'charliehebdo']
553481076916883456 [1, 'rumour', 'charliehebdo']
553483415954411520 [1, 'rumour', 'charliehebdo']
553484365012148225 [1, 'rumour', 'charliehebdo']
553484760233017344 [1, 'rumour', 'charliehebdo']
553484780093050880 [1, 'rumour', 'charliehebdo']
553485452943302656 [1, 'rumour', 'charliehebdo']
553486439129038848 [1, 'rumour', 'charliehebdo']
553486529231089664 [1, 'rumour', 'charliehebdo']
553486796534054912 [1, 'rumour', 'charliehebdo']
553487544508493825 [1, 'rumour', 'charliehebdo']
553487971497041920 [1, 'rumour', 'charliehebdo']
553488054640340992 [1, 'rumour', 'charliehebdo']
553488824656203776 [1, 'rumour', 'charliehebdo']
553489393202499584 [1, 'rumour', 'charliehebdo']
553490238979727360 [1, 'rumour', 'charliehebdo']
553491540535156736 [1, 'rumour', 'charliehebdo']
553493222052605952 [1, 'rumour', 'charliehebdo']
553493510306152448 [1, 'rumour', 'charliehebdo']
553493707472011264 [1, 'rumour', 'charliehebdo']
553493785523400704 [1, 'rumour', 'charliehebdo']
553495137314435072 [1, 'rumour', 'charliehebdo']
553495922639122432 [1, 'rumour', 'charliehebdo']
553500238246608896 [1, 'rumour', 'charliehebdo']
553501357156876290 [1, 'rumour', 'charliehebdo']
553501773517033472 [1, 'rumour', 'charliehebdo']
553502180666531840 [1, 'rumour', 'charliehebdo']
553502311872733184 [1, 'rumour', 'charliehebdo']
553502446769942528 [1, 'rumour', 'charliehebdo']
553503184174710784 [1, 'rumour', 'charliehebdo']
553503546382249984 [1, 'rumour', 'charliehebdo']
553503909692841984 [1, 'rumour', 'charliehebdo']
553505242554175489 [1, 'rumour', 'charliehebdo']
553505371290357761 [1, 'rumour', 'charliehebdo']
553505858811080704 [1, 'rumour', 'charliehebdo']
553506608203169792 [1, 'rumour', 'charliehebdo']
553508098825261056 [1, 'rumour', 'charliehebdo']
553512735192141826 [1, 'rumour', 'charliehebdo']
553513403512532992 [1, 'rumour', 'charliehebdo']
553515054503821312 [1, 'rumour', 'charliehebdo']
553515399438811136 [1, 'rumour', 'charliehebdo']
553517713147301888 [1, 'rumour', 'charliehebdo']
553518024272379905 [1, 'rumour', 'charliehebdo']
553518053838061568 [1, 'rumour', 'charliehebdo']
553518472798683136 [1, 'rumour', 'charliehebdo']
553519375521951744 [1, 'rumour', 'charliehebdo']
553521417598550016 [1, 'rumour', 'charliehebdo']
553524086417424384 [1, 'rumour', 'charliehebdo']
553528788383191040 [1, 'rumour', 'charliehebdo']
553529101659566080 [1, 'rumour', 'charliehebdo']
553529196216344576 [1, 'rumour', 'charliehebdo']
553529334892609536 [1, 'rumour', 'charliehebdo']
553529796601585664 [1, 'rumour', 'charliehebdo']
553529935789559808 [1, 'rumour', 'charliehebdo']
553529941938425857 [1, 'rumour', 'charliehebdo']
553530524183326720 [1, 'rumour', 'charliehebdo']
553530558614351873 [1, 'rumour', 'charliehebdo']
553530667821457408 [1, 'rumour', 'charliehebdo']
553531130163773440 [1, 'rumour', 'charliehebdo']
553531316797718528 [1, 'rumour', 'charliehebdo']
553531343834202112 [1, 'rumour', 'charliehebdo']
553531413459660800 [1, 'rumour', 'charliehebdo']
553531695480463360 [1, 'rumour', 'charliehebdo']
553531781690163201 [1, 'rumour', 'charliehebdo']
553531971457265664 [1, 'rumour', 'charliehebdo']
553532980871053312 [1, 'rumour', 'charliehebdo']
553532980896231424 [1, 'rumour', 'charliehebdo']
553533499643547648 [1, 'rumour', 'charliehebdo']
553533607126388737 [1, 'rumour', 'charliehebdo']
553534707108155392 [1, 'rumour', 'charliehebdo']
553534768537939968 [1, 'rumour', 'charliehebdo']
553534838880608256 [1, 'rumour', 'charliehebdo']
553535221828964352 [1, 'rumour', 'charliehebdo']
553535430788780032 [1, 'rumour', 'charliehebdo']
553535441828605953 [1, 'rumour', 'charliehebdo']
553535467065712640 [1, 'rumour', 'charliehebdo']
553535829017370625 [1, 'rumour', 'charliehebdo']
553535829529100288 [1, 'rumour', 'charliehebdo']
553535862911541248 [1, 'rumour', 'charliehebdo']
553535971959275520 [1, 'rumour', 'charliehebdo']
553536236493615104 [1, 'rumour', 'charliehebdo']
553536269972942849 [1, 'rumour', 'charliehebdo']
553536397731442688 [1, 'rumour', 'charliehebdo']
553536603998945280 [1, 'rumour', 'charliehebdo']
553536887349325825 [1, 'rumour', 'charliehebdo']
553537537126694912 [1, 'rumour', 'charliehebdo']
553537939041701888 [1, 'rumour', 'charliehebdo']
553538058440941568 [1, 'rumour', 'charliehebdo']
553540617540624385 [1, 'rumour', 'charliehebdo']
553540739058376704 [1, 'rumour', 'charliehebdo']
553541676229472256 [1, 'rumour', 'charliehebdo']
553541776854634496 [1, 'rumour', 'charliehebdo']
553541988490825728 [1, 'rumour', 'charliehebdo']
553542235661553665 [1, 'rumour', 'charliehebdo']
553542442373619712 [1, 'rumour', 'charliehebdo']
553542565593878528 [1, 'rumour', 'charliehebdo']
553543369604210689 [1, 'rumour', 'charliehebdo']
553544252563935234 [1, 'rumour', 'charliehebdo']
553544419602104320 [1, 'rumour', 'charliehebdo']
553544694765215745 [1, 'rumour', 'charliehebdo']
553545906155712512 [1, 'rumour', 'charliehebdo']
553546029212389376 [1, 'rumour', 'charliehebdo']
553546063752478722 [1, 'rumour', 'charliehebdo']
553547270264979456 [1, 'rumour', 'charliehebdo']
553547836517007360 [1, 'rumour', 'charliehebdo']
553548567420628992 [1, 'rumour', 'charliehebdo']
553549686129561600 [1, 'rumour', 'charliehebdo']
553550301886955520 [1, 'rumour', 'charliehebdo']
553550448154910720 [1, 'rumour', 'charliehebdo']
553551225560764416 [1, 'rumour', 'charliehebdo']
553551286793416704 [1, 'rumour', 'charliehebdo']
553551598954491904 [1, 'rumour', 'charliehebdo']
553552293371871233 [1, 'rumour', 'charliehebdo']
553552825431883776 [1, 'rumour', 'charliehebdo']
553553173743677440 [1, 'rumour', 'charliehebdo']
553553244845522945 [1, 'rumour', 'charliehebdo']
553553288625672192 [1, 'rumour', 'charliehebdo']
553553724548059137 [1, 'rumour', 'charliehebdo']
553553813542797312 [1, 'rumour', 'charliehebdo']
553554351633858560 [1, 'rumour', 'charliehebdo']
553554585634496512 [1, 'rumour', 'charliehebdo']
553554835203956736 [1, 'rumour', 'charliehebdo']
553555600911925249 [1, 'rumour', 'charliehebdo']
553555979238129664 [1, 'rumour', 'charliehebdo']
553556060569862145 [1, 'rumour', 'charliehebdo']
553556643456507904 [1, 'rumour', 'charliehebdo']
553556844665659392 [1, 'rumour', 'charliehebdo']
553556984273072128 [1, 'rumour', 'charliehebdo']
553557308937363458 [1, 'rumour', 'charliehebdo']
553557753558757376 [1, 'rumour', 'charliehebdo']
553558131369062400 [1, 'rumour', 'charliehebdo']
553558385048944640 [1, 'rumour', 'charliehebdo']
553558513210105856 [1, 'rumour', 'charliehebdo']
553558982476828674 [1, 'rumour', 'charliehebdo']
553559793940447234 [1, 'rumour', 'charliehebdo']
553561170637238272 [1, 'rumour', 'charliehebdo']
553561452318322688 [1, 'rumour', 'charliehebdo']
553563668169125889 [1, 'rumour', 'charliehebdo']
553566026030272512 [1, 'rumour', 'charliehebdo']
553566877956734976 [1, 'rumour', 'charliehebdo']
553572740125712385 [1, 'rumour', 'charliehebdo']
553572754746638337 [1, 'rumour', 'charliehebdo']
553573365798416385 [1, 'rumour', 'charliehebdo']
553574345235103746 [1, 'rumour', 'charliehebdo']
553574501964079104 [1, 'rumour', 'charliehebdo']
553575232867672064 [1, 'rumour', 'charliehebdo']
553575984054951936 [1, 'rumour', 'charliehebdo']
553576010898497536 [1, 'rumour', 'charliehebdo']
553576849943826432 [1, 'rumour', 'charliehebdo']
553578029751226369 [1, 'rumour', 'charliehebdo']
553579224402235393 [1, 'rumour', 'charliehebdo']
553580959661309952 [1, 'rumour', 'charliehebdo']
553585504093224962 [1, 'rumour', 'charliehebdo']
553586781355278336 [1, 'rumour', 'charliehebdo']
553586860334010368 [1, 'rumour', 'charliehebdo']
553586897168392192 [1, 'rumour', 'charliehebdo']
553586978017775616 [1, 'rumour', 'charliehebdo']
553587013409325058 [1, 'rumour', 'charliehebdo']
553587167394791424 [1, 'rumour', 'charliehebdo']
553587225901154304 [1, 'rumour', 'charliehebdo']
553587303172833280 [1, 'rumour', 'charliehebdo']
553587329626292224 [1, 'rumour', 'charliehebdo']
553587511839444994 [1, 'rumour', 'charliehebdo']
553587511864598529 [1, 'rumour', 'charliehebdo']
553587672137334785 [1, 'rumour', 'charliehebdo']
553587735613952001 [1, 'rumour', 'charliehebdo']
553587861837328385 [1, 'rumour', 'charliehebdo']
553588012752568321 [1, 'rumour', 'charliehebdo']
553588053348843520 [1, 'rumour', 'charliehebdo']
553588080964558849 [1, 'rumour', 'charliehebdo']
553588106587545600 [1, 'rumour', 'charliehebdo']
553588178687655936 [1, 'rumour', 'charliehebdo']
553588340432572416 [1, 'rumour', 'charliehebdo']
553588374280601600 [1, 'rumour', 'charliehebdo']
553588494661337089 [1, 'rumour', 'charliehebdo']
553588760060125185 [1, 'rumour', 'charliehebdo']
553588913747808256 [1, 'rumour', 'charliehebdo']
553588946039746560 [1, 'rumour', 'charliehebdo']
553588993993232384 [1, 'rumour', 'charliehebdo']
553589051044151296 [1, 'rumour', 'charliehebdo']
553589055116836864 [1, 'rumour', 'charliehebdo']
553589121776898048 [1, 'rumour', 'charliehebdo']
553589285342175232 [1, 'rumour', 'charliehebdo']
553589295525941248 [1, 'rumour', 'charliehebdo']
553589372084162560 [1, 'rumour', 'charliehebdo']
553589606307090432 [1, 'rumour', 'charliehebdo']
553589720480235522 [1, 'rumour', 'charliehebdo']
553590459688570880 [1, 'rumour', 'charliehebdo']
553590522800275456 [1, 'rumour', 'charliehebdo']
553590529548886016 [1, 'rumour', 'charliehebdo']
553590653784195072 [1, 'rumour', 'charliehebdo']
553590721207615488 [1, 'rumour', 'charliehebdo']
553590835850514433 [1, 'rumour', 'charliehebdo']
553590891852886019 [1, 'rumour', 'charliehebdo']
553591259672379392 [1, 'rumour', 'charliehebdo']
521310417696858112 [1, 'rumour', 'ebola-essien']
521346721226711040 [1, 'rumour', 'ebola-essien']
521350916872876033 [1, 'rumour', 'ebola-essien']
521358118597689344 [1, 'rumour', 'ebola-essien']
521359454672269313 [1, 'rumour', 'ebola-essien']
521359863884967936 [1, 'rumour', 'ebola-essien']
521360486387175424 [1, 'rumour', 'ebola-essien']
521361857810939905 [1, 'rumour', 'ebola-essien']
521367917322338304 [1, 'rumour', 'ebola-essien']
521369179392581632 [1, 'rumour', 'ebola-essien']
521375609206083584 [1, 'rumour', 'ebola-essien']
521381662551474176 [1, 'rumour', 'ebola-essien']
521595221155774464 [1, 'rumour', 'ebola-essien']
522286703848218624 [1, 'rumour', 'ebola-essien']
498235547685756928 [0, 'non-rumours', 'ferguson']
498248415223246848 [0, 'non-rumours', 'ferguson']
498248648699150336 [0, 'non-rumours', 'ferguson']
498250100079341568 [0, 'non-rumours', 'ferguson']
498251940997136384 [0, 'non-rumours', 'ferguson']
498253149707464704 [0, 'non-rumours', 'ferguson']
498253652755111937 [0, 'non-rumours', 'ferguson']
498254540870017025 [0, 'non-rumours', 'ferguson']
498255721260400640 [0, 'non-rumours', 'ferguson']
498255816034893824 [0, 'non-rumours', 'ferguson']
498256407980826625 [0, 'non-rumours', 'ferguson']
498259432237969408 [0, 'non-rumours', 'ferguson']
498259903962570752 [0, 'non-rumours', 'ferguson']
498262106937237504 [0, 'non-rumours', 'ferguson']
498263598062661633 [0, 'non-rumours', 'ferguson']
498264107460870144 [0, 'non-rumours', 'ferguson']
498264393185239040 [0, 'non-rumours', 'ferguson']
498265095559184384 [0, 'non-rumours', 'ferguson']
498265555833720832 [0, 'non-rumours', 'ferguson']
498267196833808384 [0, 'non-rumours', 'ferguson']
498267673789472768 [0, 'non-rumours', 'ferguson']
498268463639851008 [0, 'non-rumours', 'ferguson']
498269289812856832 [0, 'non-rumours', 'ferguson']
498269365175721984 [0, 'non-rumours', 'ferguson']
498269636551798784 [0, 'non-rumours', 'ferguson']
498269697453084672 [0, 'non-rumours', 'ferguson']
498271531386953728 [0, 'non-rumours', 'ferguson']
498271954185379840 [0, 'non-rumours', 'ferguson']
498272080564334592 [0, 'non-rumours', 'ferguson']
498272364560257025 [0, 'non-rumours', 'ferguson']
498273703428620289 [0, 'non-rumours', 'ferguson']
498274493337702401 [0, 'non-rumours', 'ferguson']
498274692873351170 [0, 'non-rumours', 'ferguson']
498274934553317376 [0, 'non-rumours', 'ferguson']
498274948772024321 [0, 'non-rumours', 'ferguson']
498275621651636224 [0, 'non-rumours', 'ferguson']
498276304635322368 [0, 'non-rumours', 'ferguson']
498276354434277376 [0, 'non-rumours', 'ferguson']
498276771226451968 [0, 'non-rumours', 'ferguson']
498277197581664256 [0, 'non-rumours', 'ferguson']
498277231253127168 [0, 'non-rumours', 'ferguson']
498277674692149248 [0, 'non-rumours', 'ferguson']
498277678706077696 [0, 'non-rumours', 'ferguson']
498278882244853760 [0, 'non-rumours', 'ferguson']
498279420885360641 [0, 'non-rumours', 'ferguson']
498280074941313024 [0, 'non-rumours', 'ferguson']
498280730070622209 [0, 'non-rumours', 'ferguson']
498281104865259521 [0, 'non-rumours', 'ferguson']
498281812821803008 [0, 'non-rumours', 'ferguson']
498281886603411456 [0, 'non-rumours', 'ferguson']
498283038338711552 [0, 'non-rumours', 'ferguson']
498283233982025728 [0, 'non-rumours', 'ferguson']
498283586425200640 [0, 'non-rumours', 'ferguson']
498284302128668672 [0, 'non-rumours', 'ferguson']
498284334806495233 [0, 'non-rumours', 'ferguson']
498284429333524480 [0, 'non-rumours', 'ferguson']
498285405142540289 [0, 'non-rumours', 'ferguson']
498285529704976385 [0, 'non-rumours', 'ferguson']
498285556502372352 [0, 'non-rumours', 'ferguson']
498285782512050176 [0, 'non-rumours', 'ferguson']
498286045843435521 [0, 'non-rumours', 'ferguson']
498286202077085696 [0, 'non-rumours', 'ferguson']
498286281894682624 [0, 'non-rumours', 'ferguson']
498286918011224065 [0, 'non-rumours', 'ferguson']
498287166909579264 [0, 'non-rumours', 'ferguson']
498287947301814274 [0, 'non-rumours', 'ferguson']
498289596463980544 [0, 'non-rumours', 'ferguson']
498290802255466498 [0, 'non-rumours', 'ferguson']
498291267756130305 [0, 'non-rumours', 'ferguson']
498292200955195392 [0, 'non-rumours', 'ferguson']
498292317296812032 [0, 'non-rumours', 'ferguson']
498292602861400064 [0, 'non-rumours', 'ferguson']
498292628455034882 [0, 'non-rumours', 'ferguson']
498292732159619072 [0, 'non-rumours', 'ferguson']
498293625420148736 [0, 'non-rumours', 'ferguson']
498294248488574976 [0, 'non-rumours', 'ferguson']
498294775649665024 [0, 'non-rumours', 'ferguson']
498294815579467777 [0, 'non-rumours', 'ferguson']
498296205777326080 [0, 'non-rumours', 'ferguson']
498297336968515584 [0, 'non-rumours', 'ferguson']
498298040881782785 [0, 'non-rumours', 'ferguson']
498300128088694786 [0, 'non-rumours', 'ferguson']
498300256678076417 [0, 'non-rumours', 'ferguson']
498300832648273920 [0, 'non-rumours', 'ferguson']
498300897051807744 [0, 'non-rumours', 'ferguson']
498301635756838912 [0, 'non-rumours', 'ferguson']
498301902048997377 [0, 'non-rumours', 'ferguson']
498302254190166016 [0, 'non-rumours', 'ferguson']
498302603034640384 [0, 'non-rumours', 'ferguson']
498302874531553280 [0, 'non-rumours', 'ferguson']
498303288295817217 [0, 'non-rumours', 'ferguson']
498303769915191297 [0, 'non-rumours', 'ferguson']
498303921430204416 [0, 'non-rumours', 'ferguson']
498304114955419648 [0, 'non-rumours', 'ferguson']
498305851828879368 [0, 'non-rumours', 'ferguson']
498305962726273024 [0, 'non-rumours', 'ferguson']
498308585227431936 [0, 'non-rumours', 'ferguson']
498310006169538561 [0, 'non-rumours', 'ferguson']
498310720350863362 [0, 'non-rumours', 'ferguson']
498311895716470784 [0, 'non-rumours', 'ferguson']
498313143530303488 [0, 'non-rumours', 'ferguson']
498314939359301632 [0, 'non-rumours', 'ferguson']
498316475317239809 [0, 'non-rumours', 'ferguson']
498316826988642304 [0, 'non-rumours', 'ferguson']
498317308771987456 [0, 'non-rumours', 'ferguson']
498318192000118784 [0, 'non-rumours', 'ferguson']
498318493293772800 [0, 'non-rumours', 'ferguson']
498321666267561985 [0, 'non-rumours', 'ferguson']
498322865843109888 [0, 'non-rumours', 'ferguson']
498323364197699584 [0, 'non-rumours', 'ferguson']
498325055726559232 [0, 'non-rumours', 'ferguson']
498340530770939904 [0, 'non-rumours', 'ferguson']
498349598197702656 [0, 'non-rumours', 'ferguson']
498355319979143168 [0, 'non-rumours', 'ferguson']
498356729634390016 [0, 'non-rumours', 'ferguson']
498357910603575296 [0, 'non-rumours', 'ferguson']
498401948585181184 [0, 'non-rumours', 'ferguson']
498433651835940865 [0, 'non-rumours', 'ferguson']
498452658605535232 [0, 'non-rumours', 'ferguson']
498452664527511553 [0, 'non-rumours', 'ferguson']
498455001463664640 [0, 'non-rumours', 'ferguson']
498457205801488385 [0, 'non-rumours', 'ferguson']
498463733447163905 [0, 'non-rumours', 'ferguson']
498466570675716096 [0, 'non-rumours', 'ferguson']
498472666802958336 [0, 'non-rumours', 'ferguson']
498473263862149120 [0, 'non-rumours', 'ferguson']
498473515302260736 [0, 'non-rumours', 'ferguson']
498474035668586497 [0, 'non-rumours', 'ferguson']
498474263255330818 [0, 'non-rumours', 'ferguson']
498476761538371584 [0, 'non-rumours', 'ferguson']
498477164380299264 [0, 'non-rumours', 'ferguson']
498477676219600896 [0, 'non-rumours', 'ferguson']
498480344992350209 [0, 'non-rumours', 'ferguson']
498482619232055296 [0, 'non-rumours', 'ferguson']
498483031842500608 [0, 'non-rumours', 'ferguson']
498483279943962625 [0, 'non-rumours', 'ferguson']
498483485133516800 [0, 'non-rumours', 'ferguson']
498483784296448000 [0, 'non-rumours', 'ferguson']
498486539585069056 [0, 'non-rumours', 'ferguson']
498486850521423872 [0, 'non-rumours', 'ferguson']
498487087105314816 [0, 'non-rumours', 'ferguson']
498487611963744256 [0, 'non-rumours', 'ferguson']
498487999848800256 [0, 'non-rumours', 'ferguson']
498488195047096320 [0, 'non-rumours', 'ferguson']
498489114384420865 [0, 'non-rumours', 'ferguson']
498489451954573312 [0, 'non-rumours', 'ferguson']
498491047329402880 [0, 'non-rumours', 'ferguson']
498492003903356928 [0, 'non-rumours', 'ferguson']
498492636630896640 [0, 'non-rumours', 'ferguson']
498494758814109696 [0, 'non-rumours', 'ferguson']
498495764486950912 [0, 'non-rumours', 'ferguson']
498497371899449344 [0, 'non-rumours', 'ferguson']
498497395198799872 [0, 'non-rumours', 'ferguson']
498499795192143872 [0, 'non-rumours', 'ferguson']
498499836900278272 [0, 'non-rumours', 'ferguson']
498500813845966848 [0, 'non-rumours', 'ferguson']
498504673339666432 [0, 'non-rumours', 'ferguson']
498504707393220608 [0, 'non-rumours', 'ferguson']
498507434693246977 [0, 'non-rumours', 'ferguson']
498507730395484160 [0, 'non-rumours', 'ferguson']
498508707244683264 [0, 'non-rumours', 'ferguson']
498510381774819330 [0, 'non-rumours', 'ferguson']
498512372584415232 [0, 'non-rumours', 'ferguson']
498512590260023296 [0, 'non-rumours', 'ferguson']
498515980205948928 [0, 'non-rumours', 'ferguson']
498524570593140736 [0, 'non-rumours', 'ferguson']
498527404386578432 [0, 'non-rumours', 'ferguson']
498529979672842241 [0, 'non-rumours', 'ferguson']
498530293116968960 [0, 'non-rumours', 'ferguson']
498530904139378688 [0, 'non-rumours', 'ferguson']
498530946338258944 [0, 'non-rumours', 'ferguson']
498531639472189441 [0, 'non-rumours', 'ferguson']
498532911143206913 [0, 'non-rumours', 'ferguson']
498535462349582337 [0, 'non-rumours', 'ferguson']
498541831052083201 [0, 'non-rumours', 'ferguson']
498544167757570049 [0, 'non-rumours', 'ferguson']
498556324868009984 [0, 'non-rumours', 'ferguson']
498560433021026304 [0, 'non-rumours', 'ferguson']
498575704582148096 [0, 'non-rumours', 'ferguson']
498584409055174656 [0, 'non-rumours', 'ferguson']
498585089828478977 [0, 'non-rumours', 'ferguson']
498586725502173184 [0, 'non-rumours', 'ferguson']
498590686065606657 [0, 'non-rumours', 'ferguson']
498600617645199361 [0, 'non-rumours', 'ferguson']
498602787614511104 [0, 'non-rumours', 'ferguson']
498602798687469568 [0, 'non-rumours', 'ferguson']
498602841335169024 [0, 'non-rumours', 'ferguson']
498603999252467713 [0, 'non-rumours', 'ferguson']
498609222020780033 [0, 'non-rumours', 'ferguson']
498616975850225664 [0, 'non-rumours', 'ferguson']
499345010190348288 [0, 'non-rumours', 'ferguson']
499345023721537536 [0, 'non-rumours', 'ferguson']
499345384024842240 [0, 'non-rumours', 'ferguson']
499345604297121792 [0, 'non-rumours', 'ferguson']
499346625760751616 [0, 'non-rumours', 'ferguson']
499347831954870274 [0, 'non-rumours', 'ferguson']
499349252938956800 [0, 'non-rumours', 'ferguson']
499349294034743297 [0, 'non-rumours', 'ferguson']
499355083734519808 [0, 'non-rumours', 'ferguson']
499357077429817344 [0, 'non-rumours', 'ferguson']
499357289363431425 [0, 'non-rumours', 'ferguson']
499358869492367360 [0, 'non-rumours', 'ferguson']
499359735947087872 [0, 'non-rumours', 'ferguson']
499360134779637761 [0, 'non-rumours', 'ferguson']
499360762167848960 [0, 'non-rumours', 'ferguson']
499360784666071040 [0, 'non-rumours', 'ferguson']
499361017038905344 [0, 'non-rumours', 'ferguson']
499361252691681281 [0, 'non-rumours', 'ferguson']
499361506132508673 [0, 'non-rumours', 'ferguson']
499361679197884416 [0, 'non-rumours', 'ferguson']
499361965035491329 [0, 'non-rumours', 'ferguson']
499362269269336064 [0, 'non-rumours', 'ferguson']
499362348940144640 [0, 'non-rumours', 'ferguson']
499362441697193985 [0, 'non-rumours', 'ferguson']
499362480179912705 [0, 'non-rumours', 'ferguson']
499362949166030848 [0, 'non-rumours', 'ferguson']
499362994862960640 [0, 'non-rumours', 'ferguson']
499363323335680000 [0, 'non-rumours', 'ferguson']
499363612260315136 [0, 'non-rumours', 'ferguson']
499363921661140993 [0, 'non-rumours', 'ferguson']
499363975377993729 [0, 'non-rumours', 'ferguson']
499364002318020608 [0, 'non-rumours', 'ferguson']
499364508641808384 [0, 'non-rumours', 'ferguson']
499364522038394880 [0, 'non-rumours', 'ferguson']
499365436816105473 [0, 'non-rumours', 'ferguson']
499366152049803264 [0, 'non-rumours', 'ferguson']
499366930457710592 [0, 'non-rumours', 'ferguson']
499366977497214976 [0, 'non-rumours', 'ferguson']
499368426931228672 [0, 'non-rumours', 'ferguson']
499369948943495168 [0, 'non-rumours', 'ferguson']
499375535458643968 [0, 'non-rumours', 'ferguson']
499376069485821952 [0, 'non-rumours', 'ferguson']
499377470697926656 [0, 'non-rumours', 'ferguson']
499377813758443520 [0, 'non-rumours', 'ferguson']
499379061718659073 [0, 'non-rumours', 'ferguson']
